product,period,scenario,optimal_overage
p2,3,scenario_10,26.0
p3,3,scenario_10,94.642857
p1,4,scenario_10,13.0
p2,4,scenario_10,55.0
p3,4,scenario_10,15.581633
p1,5,scenario_10,5.9222222
p2,5,scenario_10,0.0
p3,5,scenario_10,18.0
p1,6,scenario_10,0.0
p2,6,scenario_10,0.0
p3,6,scenario_10,0.0
p1,7,scenario_10,0.0
p2,7,scenario_10,0.0
p3,7,scenario_10,0.0
p1,8,scenario_10,0.0
p2,8,scenario_10,0.0
p3,8,scenario_10,15.44898
p1,9,scenario_10,0.0
p2,9,scenario_10,0.0
p3,9,scenario_10,0.0
p1,10,scenario_10,1.0
p2,10,scenario_10,7.0
p3,10,scenario_10,44.642857
p1,11,scenario_10,25.833333
p2,11,scenario_10,0.0
p3,11,scenario_10,0.0
p1,12,scenario_10,48.0
p2,12,scenario_10,1.0
p3,12,scenario_10,64.959184
